chrom	start	end	name	repeat_unit_size	color_rgb
chr10_hap1	39673760	39673931	#1:S1C10H1L.1	1	(31, 119, 180)
chr10_hap1	39674441	39674610	#2:S1C10H1L.5	1	(31, 119, 180)
chr10_hap1	39676469	39676976	#3:S1C10H1L.5_2-3	3	(31, 119, 180)
chr10_hap1	39677145	39677316	#4:S1C10H1L.5	1	(31, 119, 180)
chr10_hap1	39677484	39677824	#5:S1C10H1L.7-8	2	(31, 119, 180)
chr10_hap1	39677824	39678333	#6:S1C10H1L.1-3	3	(31, 119, 180)
chr10_hap1	39678502	39678673	#7:S1C10H1L.5	1	(31, 119, 180)
chr10_hap1	39678843	39679181	#8:S1C10H1L.7-8	2	(31, 119, 180)
chr10_hap1	39679181	39679690	#9:S1C10H1L.1-3	3	(31, 119, 180)
chr10_hap1	39679859	39680030	#10:S1C10H1L.5	1	(31, 119, 180)
chr10_hap1	39680198	39680538	#11:S1C10H1L.7-8	2	(31, 119, 180)
chr10_hap1	39680538	39680878	#12:S1C10H1L.1-2	2	(31, 119, 180)
chr10_hap1	39681049	39681892	#13:S1C10H1L.4-8	5	(174, 199, 232)
chr10_hap1	39681892	39682402	#14:S1C10H1L.1-3	3	(31, 119, 180)
chr10_hap1	39682571	39683250	#15:S1C10H1L.5-8	4	(31, 119, 180)
chr10_hap1	39683250	39683931	#16:S1C10H1L.1_2/6_7-8	4	(31, 119, 180)
chr10_hap1	39683931	39684951	#17:S1C10H1L.1-2_3/5_6-8	6	(174, 199, 232)
chr10_hap1	39684951	39685460	#18:S1C10H1L.1-3	3	(31, 119, 180)
chr10_hap1	39685628	39685799	#19:S1C10H1L.5	1	(31, 119, 180)
chr10_hap1	39685967	39686307	#20:S1C10H1L.7-8	2	(31, 119, 180)
chr10_hap1	39686307	39687666	#21:S1C10H1L.1-8	8	(174, 199, 232)
chr10_hap1	39687666	39688175	#22:S1C10H1L.1-3	3	(31, 119, 180)
chr10_hap1	39688343	39688514	#23:S1C10H1L.5	1	(31, 119, 180)
chr10_hap1	39688682	39689022	#24:S1C10H1L.7-8	2	(31, 119, 180)
chr10_hap1	39689022	39689702	#25:S1C10H1L.1_2/6_7-8	4	(31, 119, 180)
chr10_hap1	39689702	39690722	#26:S1C10H1L.1-2_3/5_6-8	6	(174, 199, 232)
