chr	start	end	name	gieStain
chr1	1	121969534	chr1_p	gneg
chr1	121969535	126477990	chr1_cen	gpos100
chr1	126477991	245130294	chr1_q	gneg
chr2	1	92375274	chr2_p	gneg
chr2	92375275	94358914	chr2_cen	gpos100
chr2	94358915	242676988	chr2_q	gneg
chr3	1	88848848	chr3_p	gneg
chr3	88848849	93886223	chr3_cen	gpos100
chr3	93886224	201036031	chr3_q	gneg
chr4	1	50003368	chr4_p	gneg
chr4	50003369	54020690	chr4_cen	gpos100
chr4	54020691	192521913	chr4_q	gneg
chr5	1	46217125	chr5_p	gneg
chr5	46217126	50292377	chr5_cen	gpos100
chr5	50292378	182259134	chr5_q	gneg
chr6	1	58348221	chr6_p	gneg
chr6	58348222	61311713	chr6_cen	gpos100
chr6	61311714	172045469	chr6_q	gneg
chr7	1	60556648	chr7_p	gneg
chr7	60556649	66855085	chr7_cen	gpos100
chr7	66855086	163647842	chr7_q	gneg
chr8	1	43598682	chr8_p	gneg
chr8	43598683	46148762	chr8_cen	gpos100
chr8	46148763	145680301	chr8_q	gneg
chr9	1	44799059	chr9_p	gneg
chr9	44799060	49201919	chr9_cen	gpos100
chr9	49201920	137521496	chr9_q	gneg
chr10	1	39673760	chr10_p	gneg
chr10	39673761	42335414	chr10_cen	gpos100
chr10	42335415	134988382	chr10_q	gneg
chr11	1	51025803	chr11_p	gneg
chr11	51025804	53674532	chr11_cen	gpos100
chr11	53674533	134265560	chr11_q	gneg
chr12	1	34776761	chr12_p	gneg
chr12	34776762	37747756	chr12_cen	gpos100
chr12	37747757	133236650	chr12_q	gneg
chr13	1	520050	chr13_p	gneg
chr13	520051	4844546	chr13_cen	gpos100
chr13	4844547	101016140	chr13_q	gneg
chr14	1	5441109	chr14_p	gneg
chr14	5441110	9041287	chr14_cen	gpos100
chr14	9041288	97561019	chr14_q	gneg
chr15	1	9065883	chr15_p	gneg
chr15	9065884	12567711	chr15_cen	gpos100
chr15	12567712	95272790	chr15_q	gneg
chr16	1	34516414	chr16_p	gneg
chr16	34516415	36535239	chr16_cen	gpos100
chr16	36535240	89871686	chr16_q	gneg
chr17	1	23932184	chr17_p	gneg
chr17	23932185	26453389	chr17_cen	gpos100
chr17	26453390	82991831	chr17_q	gneg
chr18	1	15477941	chr18_p	gneg
chr18	15477942	17644735	chr18_cen	gpos100
chr18	17644736	76653175	chr18_q	gneg
chr19	1	24509216	chr19_p	gneg
chr19	24509217	29092076	chr19_cen	gpos100
chr19	29092077	60904190	chr19_q	gneg
chr20	1	26420692	chr20_p	gneg
chr20	26420693	31881652	chr20_cen	gpos100
chr20	31881653	65674320	chr20_q	gneg
chr21	1	901046	chr21_p	gneg
chr21	901047	5007564	chr21_cen	gpos100
chr21	5007565	38797553	chr21_q	gneg
chr22	1	6282155	chr22_p	gneg
chr22	6282156	9267229	chr22_cen	gpos100
chr22	9267230	45250002	chr22_q	gneg
chrX	1	57875484	chrX_p	gneg
chrX	57875485	60590362	chrX_cen	gpos100
chrX	60590363	227216509	chrX_q	gneg
