chr	start	end	het_ratio	het_length
chr2	1001	3369	10	2368
chr2	4414	4472	36.1	58
chr2	97356	98676	49	1320
chr2	119984	120813	41.2	829
chr2	141337	141973	38.5	636
chr2	147345	147875	46.3	530
chr2	201198	203422	20	2224
chr2	204371	207581	50	3210
chr2	214346	214802	45.5	456
chr2	235963	236355	45	392
chr2	293944	294214	11.1	270
chr2	300719	301860	45	1141
chr2	306492	307890	11.6	1398
chr2	397548	398224	14.3	676
chr2	417759	418526	43.6	767
chr2	424425	425372	50	947
chr2	486385	487183	42	798
chr2	542258	542395	48.8	137
chr2	544913	545949	48.9	1036
chr2	551449	552162	46.8	713
chr2	560231	562447	36.2	2216
chr2	582962	583568	50	606
chr2	589076	589644	40.6	568
chr2	591740	592805	35.1	1065
chr2	819655	821833	44.2	2178
chr2	828397	830758	40.9	2361
chr2	834926	836185	40	1259
chr2	839617	840869	39.5	1252
chr2	841573	844966	42.5	3393
chr2	845775	847141	35.7	1366
chr2	848470	849471	18.8	1001
chr2	850335	852421	47.1	2086
chr2	853406	858100	50	4694
chr2	861039	861756	44.2	717
chr2	863243	864227	48.9	984
chr2	867735	869552	41.7	1817
chr2	878475	879303	28.8	828
chr2	888023	888819	43.2	796
chr2	909015	911240	45.2	2225
chr2	912922	913495	43.6	573
chr2	914846	915224	44.2	378
chr2	922760	925137	46.7	2377
chr2	925964	929319	47.1	3355
chr2	931274	932195	44.4	921
chr2	962843	963288	50	445
chr2	966260	968097	42.2	1837
chr2	969072	969557	38.6	485
chr2	970208	972750	37.5	2542
chr2	975665	977877	35.4	2212
chr2	978857	980901	41.5	2044
chr2	981617	982345	49.1	728
chr2	982880	984850	49.1	1970
chr2	987694	989073	48.4	1379
chr2	1009344	1009906	40	562
chr2	1013025	1014797	47.8	1772
chr2	1018560	1019814	46.5	1254
chr2	1031157	1031973	41.5	816
chr2	1056200	1056826	31.2	626
chr2	1167643	1172964	46.8	5321
chr2	1174374	1174818	49.1	444
chr2	1175894	1177157	50	1263
chr2	1178049	1181698	48.3	3649
chr2	1182488	1183508	48.9	1020
chr2	1189150	1189932	43.8	782
chr2	1196658	1197869	46.9	1211
chr2	1201846	1204796	48.7	2950
chr2	1206145	1207479	48.8	1334
chr2	1221129	1225727	14.8	4598
chr2	1286782	1287751	44.2	969
chr2	1319090	1321058	46.3	1968
chr2	1345341	1347891	41.4	2550
chr2	1356630	1358372	41.7	1742
chr2	1359162	1359722	39.1	560
chr2	1360767	1367889	43.5	7122
chr2	1491484	1492006	40.4	522
chr2	1528790	1528851	10	61
chr2	1535840	1536047	20.8	207
chr2	1536768	1536919	14.8	151
chr2	1537595	1542051	28.6	4456
chr2	1574227	1574317	40	90
chr2	1594970	1595347	11.1	377
chr2	1628373	1629781	44.9	1408
chr2	1635962	1637282	50	1320
chr2	1693340	1695129	37	1789
chr2	1709697	1711502	39.3	1805
chr2	1713969	1714472	47.2	503
chr2	1714472	1715439	41	967
chr2	1718096	1718958	46.8	862
chr2	1727550	1728505	17.6	955
chr2	1739506	1739966	50	460
chr2	1744821	1747726	48.8	2905
chr2	1751471	1753238	45.9	1767
chr2	1758288	1759621	16.7	1333
chr2	1766800	1767858	44.7	1058
chr2	1774563	1777801	46.2	3238
chr2	1787271	1788629	50	1358
chr2	1807145	1808055	45.8	910
chr2	1811552	1812987	40.4	1435
chr2	1813996	1814529	47.1	533
chr2	1836907	1837964	46.7	1057
chr2	1844034	1845534	41	1500
chr2	1846885	1849563	45.9	2678
chr2	1850664	1851163	47.7	499
chr2	1852405	1853516	46.5	1111
chr2	1854122	1856318	42.2	2196
chr2	1859761	1860390	47.6	629
chr2	1870848	1871111	10.5	263
chr2	1962850	1962897	10	47
chr2	1987992	1988636	45.8	644
chr2	2044783	2045612	39.2	829
chr2	2222332	2222440	45.6	108
chr2	2227892	2227910	46.9	18
chr2	2250157	2251067	44.2	910
chr2	2477645	2480915	43.2	3270
chr2	2482852	2484865	46.8	2013
chr2	2487824	2488518	43.2	694
chr2	2489404	2489988	40.5	584
chr2	2499063	2501281	45.5	2218
chr2	2510636	2511909	46.2	1273
chr2	2525993	2526507	47.5	514
chr2	2527781	2528886	48.4	1105
chr2	2530947	2531839	45.6	892
chr2	2532709	2534844	44.8	2135
chr2	2556754	2557280	37.8	526
chr2	2593451	2594693	42.4	1242
chr2	2596597	2598621	48.8	2024
chr2	2601977	2602626	48.8	649
chr2	2613308	2613827	47.9	519
chr2	2655116	2655881	39.6	765
chr2	2660443	2662013	42.9	1570
chr2	2667847	2668880	35.6	1033
chr2	2671594	2672205	31	611
chr2	2674335	2675575	31	1240
chr2	2738573	2739217	47.9	644
chr2	2799896	2801651	44.4	1755
chr2	2801651	2802494	43.2	843
chr2	2803430	2803902	41.7	472
chr2	2814406	2815742	37.8	1336
chr2	2818857	2819694	43.2	837
chr2	2866613	2867980	37	1367
chr2	2871218	2872688	46	1470
chr2	2875567	2876994	50	1427
chr2	2879386	2880174	46.5	788
chr2	2882810	2884601	49	1791
chr2	2917383	2917558	28.6	175
chr2	2943358	2944342	44.4	984
chr2	2946602	2947734	47.1	1132
chr2	2993941	2994714	50	773
chr2	2996212	2997038	46.5	826
chr2	3004112	3005010	42.1	898
chr2	3014676	3015771	37.5	1095
chr2	3034112	3035294	46.2	1182
chr2	3042110	3043786	41.9	1676
chr2	3044401	3044853	50	452
chr2	3052353	3054239	47.6	1886
chr2	3082617	3082669	46.2	52
chr2	3088396	3088897	45.5	501
chr2	3092078	3092729	46.3	651
chr2	3099651	3100005	37.5	354
chr2	3114028	3115285	45.8	1257
chr2	3118278	3119390	46.6	1112
chr2	3194575	3198030	10.4	3455
chr2	3243141	3243249	33.3	108
chr2	3267655	3268931	46.4	1276
chr2	3269846	3270525	43.3	679
chr2	3290947	3291075	40.8	128
chr2	3298316	3298992	46.2	676
chr2	3305191	3307128	50	1937
chr2	3308687	3310454	45.5	1767
chr2	3325605	3326826	43.6	1221
chr2	3337069	3338086	40	1017
chr2	3512439	3513360	49.1	921
chr2	3514603	3516646	43.6	2043
chr2	3612648	3614165	14.3	1517
chr2	3614780	3615074	48.6	294
chr2	3649736	3650380	49.1	644
chr2	3657475	3658858	45.7	1383
chr2	3659585	3660289	43.9	704
chr2	3673355	3674365	36.8	1010
chr2	3692306	3698095	47.6	5789
chr2	3712801	3713002	41.7	201
chr2	3726072	3727280	42.9	1208
chr2	3739761	3740339	40	578
chr2	3749188	3749783	13.3	595
chr2	3884854	3885661	41.1	807
chr2	3929784	3931359	44.9	1575
chr2	3942928	3943552	45.9	624
chr2	4057303	4058094	45.8	791
chr2	4092473	4092989	39.1	516
chr2	4095404	4097077	47.6	1673
chr2	4099317	4100655	47.7	1338
chr2	4105316	4106567	40.5	1251
chr2	4116474	4117123	46	649
chr2	4154383	4154606	38.9	223
chr2	4162045	4163028	35.9	983
chr2	4182254	4183722	40	1468
chr2	4189291	4189345	48.7	54
chr2	4194281	4194396	50	115
chr2	4205044	4206187	43.2	1143
chr2	4218288	4219398	41.4	1110
chr2	4221015	4221891	34	876
chr2	4265620	4266471	45.5	851
chr2	4517969	4519058	43.5	1089
chr2	4574518	4575202	42.5	684
chr2	4578291	4578605	47.6	314
chr2	4584113	4584868	44.2	755
chr2	4587116	4587476	40.5	360
chr2	4589867	4591036	37.5	1169
chr2	4591585	4593046	34.3	1461
chr2	4596863	4597969	44.8	1106
chr2	4603960	4605968	44	2008
chr2	4610005	4610605	39.1	600
chr2	4620562	4620911	42.2	349
chr2	4623214	4624394	42.3	1180
chr2	4625518	4628012	44.9	2494
chr2	4629608	4630350	49	742
chr2	4634898	4635967	46.5	1069
chr2	4794692	4796284	47.1	1592
chr2	4813452	4814507	38.3	1055
chr2	4832544	4833387	49.1	843
chr2	4866673	4868050	49	1377
chr2	4871720	4878230	42.3	6510
chr2	4894447	4895799	45.2	1352
chr2	4920987	4921740	39	753
chr2	4938249	4939545	48.8	1296
chr2	4942909	4943957	47.5	1048
chr2	5042155	5044750	10.5	2595
chr2	5126885	5128656	40.7	1771
chr2	5129704	5131426	41.2	1722
chr2	5132942	5133617	45.8	675
chr2	5134679	5135932	42.6	1253
chr2	5136740	5138562	44.7	1822
chr2	5273288	5274362	48.7	1074
chr2	5276577	5277608	50	1031
chr2	5320311	5320707	50	396
chr2	5326890	5327550	43.2	660
chr2	5328455	5329224	41.5	769
chr2	5445540	5446314	43.2	774
chr2	5472146	5473180	37	1034
chr2	5584816	5587398	41.3	2582
chr2	5596460	5597487	47.5	1027
chr2	5598401	5598974	48.8	573
chr2	5607302	5608674	49.1	1372
chr2	5727639	5729277	39.5	1638
chr2	5832160	5833422	48.5	1262
chr2	5834002	5835690	48.6	1688
chr2	5838525	5841749	47.5	3224
chr2	5850525	5853697	38.1	3172
chr2	5871138	5871951	46.5	813
chr2	5905761	5906913	48.1	1152
chr2	5919916	5920743	48.8	827
chr2	5961629	5964673	40.4	3044
chr2	6022461	6024095	46.8	1634
chr2	6037383	6039976	48.5	2593
chr2	6040881	6042864	30.6	1983
chr2	6145666	6145908	45.2	242
chr2	6178235	6183722	41.5	5487
chr2	6184415	6187273	46.8	2858
chr2	6216613	6217502	40	889
chr2	6218325	6218482	41	157
chr2	6254324	6255172	41	848
chr2	6259371	6260753	39.5	1382
chr2	6368987	6370103	48.9	1116
chr2	6376949	6378053	41	1104
chr2	6394976	6395311	48.9	335
chr2	6399212	6399758	49	546
chr2	6401716	6402488	45.2	772
chr2	6409205	6410728	48.8	1523
chr2	6432983	6433709	42.9	726
chr2	6438534	6439371	42.6	837
chr2	6446243	6447110	42.2	867
chr2	6520046	6520882	48.8	836
chr2	6525194	6525989	45.2	795
chr2	6530799	6532072	35.1	1273
chr2	6536546	6538723	34.9	2177
chr2	6539960	6541966	35.9	2006
chr2	6668494	6670054	44.2	1560
chr2	6675885	6680806	38.1	4921
chr2	6681819	6682685	45.2	866
chr2	6917836	6918432	45.7	596
chr2	6944353	6944792	47.2	439
chr2	6955903	6956827	44.7	924
chr2	7009474	7011071	43.1	1597
chr2	7017698	7019276	47.3	1578
chr2	7045120	7046135	35.5	1015
chr2	7047115	7048612	48.6	1497
chr2	7051972	7052749	41.9	777
chr2	7063959	7064372	44	413
chr2	7070824	7072053	40	1229
chr2	7084753	7085515	44.4	762
chr2	7109884	7111438	45.2	1554
chr2	7126852	7127810	41	958
chr2	7129291	7130688	50	1397
chr2	7157338	7157937	27.8	599
chr2	7158872	7161165	21.1	2293
chr2	7163852	7164709	34.1	857
chr2	7166306	7166850	38.1	544
chr2	7176740	7178244	43.8	1504
chr2	7183475	7184422	43.9	947
chr2	7205036	7207605	41.2	2569
chr2	7208486	7211033	44.4	2547
chr2	7212728	7214412	48.5	1684
chr2	7215742	7217045	48.6	1303
chr2	7237907	7239359	46.3	1452
chr2	7297592	7298613	45.5	1021
chr2	7359052	7361897	47.4	2845
chr2	7365320	7366118	48.9	798
chr2	7367014	7368040	45.8	1026
chr2	7416614	7417110	38.5	496
chr2	7510029	7512991	22.2	2962
chr2	7583459	7584992	47.5	1533
chr2	7592939	7594196	48.6	1257
chr2	7615291	7616430	48.7	1139
chr2	7617267	7618111	44.7	844
chr2	7632011	7633572	36.2	1561
chr2	7634559	7640046	33.3	5487
chr2	7704154	7705917	10.5	1763
chr2	7956280	7956917	50	637
chr2	7971851	7973013	33.3	1162
chr2	7982522	7985175	50	2653
chr2	7987255	7988494	49	1239
chr2	7990998	7991805	50	807
chr2	7997826	7999207	49.2	1381
chr2	8073846	8074429	38.9	583
chr2	8330495	8332222	44.2	1727
chr2	8356966	8357731	47.5	765
chr2	8378126	8378844	45.2	718
chr2	8413993	8414590	42.1	597
chr2	8475434	8476966	46.7	1532
chr2	8492859	8493258	37.8	399
chr2	8495643	8497225	40.4	1582
chr2	8577759	8578463	49.2	704
chr2	8625948	8626905	42.9	957
chr2	9117945	9118894	42.2	949
chr2	9130374	9132469	35.7	2095
chr2	9145595	9147210	47.4	1615
chr2	9148379	9149021	44.7	642
chr2	9150746	9151548	42.1	802
chr2	9157437	9158365	45.3	928
chr2	9167545	9169194	47.1	1649
chr2	9177857	9179084	45.7	1227
chr2	9180038	9181250	46.2	1212
chr2	9217721	9219453	41.3	1732
chr2	9221889	9222592	50	703
chr2	9277899	9278308	46.8	409
chr2	9280181	9283085	44.2	2904
chr2	9294288	9295118	47.6	830
chr2	9318354	9319069	32.6	715
chr2	9328731	9329571	40	840
chr2	9330115	9331183	39.6	1068
chr2	9638610	9639317	46.7	707
chr2	9658589	9659757	37	1168
chr2	9679705	9681850	47.5	2145
chr2	9689960	9691395	49.2	1435
chr2	9694335	9695332	41.5	997
chr2	9696331	9701436	38.3	5105
chr2	9703278	9704689	46.8	1411
chr2	9716010	9718907	43.1	2897
chr2	9797875	9800032	42.4	2157
chr2	9800671	9801777	47.6	1106
chr2	9806036	9806704	44.1	668
chr2	9911802	9914148	46.9	2346
chr2	9918835	9921558	42	2723
chr2	9925299	9926680	48	1381
chr2	9927253	9928154	46.2	901
chr2	9929823	9937660	44.9	7837
chr2	9945476	9947571	42.9	2095
chr2	9953300	9954994	49	1694
chr2	9954994	9957051	47.8	2057
chr2	9963966	9964808	48.9	842
chr2	10071952	10072022	45	70
chr2	10083679	10085192	47.1	1513
chr2	10201582	10202504	46.9	922
chr2	10204196	10205061	33.3	865
chr2	10207584	10208356	28.8	772
chr2	10220291	10221108	45.8	817
chr2	10256348	10257535	48.5	1187
chr2	10265524	10266639	50	1115
chr2	10300181	10303116	42.2	2935
chr2	10377869	10378199	49.1	330
chr2	10379076	10380079	47.3	1003
chr2	10400815	10401803	43.6	988
chr2	10403304	10404381	45	1077
chr2	10405460	10406268	41	808
chr2	10411790	10413217	42.4	1427
chr2	10422171	10422787	41.8	616
chr2	10427041	10429393	48.6	2352
chr2	10445781	10446430	35.3	649
chr2	10451521	10452707	39.4	1186
chr2	10454002	10455052	43.3	1050
chr2	10463274	10466244	44.4	2970
chr2	10500631	10501591	43.2	960
chr2	10510727	10511608	47.2	881
chr2	10532830	10534082	41.3	1252
chr2	10551470	10553340	45.7	1870
chr2	10558184	10561989	44.7	3805
chr2	10564679	10566642	47.1	1963
chr2	10572335	10572645	48.1	310
chr2	10790850	10793205	45.5	2355
chr2	10797012	10799191	45.1	2179
chr2	10803980	10804740	46	760
chr2	10805625	10806566	46.2	941
chr2	10809005	10810131	42.1	1126
chr2	10847415	10852353	42	4938
chr2	10853037	10853935	37.5	898
chr2	10859566	10860351	41.3	785
chr2	10932170	10933457	40.4	1287
chr2	10975010	10975462	47.3	452
chr2	10982110	10982898	46.7	788
chr2	10984552	11136658	16.7	152106
chr2	11137194	11144853	34.5	7659
chr2	11146602	11149770	38.9	3168
chr2	11153139	11188321	45.1	35182
chr2	11188695	11194688	48.8	5993
chr2	11195227	11196803	37.5	1576
chr2	11197699	11329054	33.3	131355
chr2	11329067	11350699	34.4	21632
chr2	11350702	11547469	29	196767
chr2	11548065	11574264	47.6	26199
chr2	11574398	11575901	45.9	1503
chr2	11577232	11578385	43.2	1153
chr2	11578558	11614840	38.6	36282
chr2	11615403	11620335	42	4932
chr2	11620909	11627721	34	6812
chr2	11627877	11647321	47.6	19444
chr2	11647561	11669286	46.2	21725
chr2	11670491	11709509	46.8	39018
chr2	11709519	11796870	17.4	87351
chr2	11797160	11886833	48	89673
chr2	11887501	11972165	14.8	84664
chr2	11972939	11988954	47.5	16015
chr2	11989731	11993135	47.3	3404
chr2	11993555	12000650	38.1	7095
chr2	12001040	12017585	36.8	16545
chr2	12018763	12096486	46.2	77723
chr2	12097058	12151508	45.8	54450
chr2	12152180	12161704	36.4	9524
chr2	12162292	12166813	48.1	4521
chr2	12167110	12168285	43.1	1175
chr2	12169243	12170701	45.5	1458
chr2	12171607	12182120	45.5	10513
chr2	12182201	12183386	50	1185
chr2	12183421	12192100	41.7	8679
chr2	12192831	12196104	46.3	3273
chr2	12197034	12225162	45.6	28128
chr2	12225388	12299213	43.1	73825
